rank,name,position,nfl_team,opp,fpts,match_key
167,A. Barner,TE,SEA,NE,7.7,A|barner|SEA
168,J. Bates,K,DET,NO,7.6,J|bates|DET
169,J. Elliott,K,PHI,WAS,7.6,J|elliott|PHI
170,N. York Jets,DST,NYJ,TEN,7.6,DST|NYJ
171,C. Santos,K,CHI,CAR,7.6,C|santos|CHI
172,S. Perine,RB,CIN,TB,7.6,S|perine|CIN
173,D. Kincaid,TE,BUF,HST,7.6,D|kincaid|BUF
174,J. Myers,K,SEA,NE,7.5,J|myers|SEA
175,R. Shaheed,WR,SEA,NE,7.5,R|shaheed|SEA
176,C. McLaughlin,K,TB,CIN,7.5,C|mclaughlin|TB
177,D. Lions,DST,DET,NO,7.5,DST|DET
178,E. Pineiro,K,SF,LA,7.5,E|pineiro|SF
179,W. Reichard,K,MIN,GB,7.5,W|reichard|MIN
180,R. Harvey,RB,DEN,KC,7.5,R|harvey|DEN
181,H. Butker,K,KC,DEN,7.5,H|butker|KC
182,J. Noel,WR,HOU,BUF,7.4,J|noel|HOU
183,M. Gay,K,LV,MIA,7.4,M|gay|LV
184,C. Brooks,RB,GB,MIN,7.4,C|brooks|GB
185,C. Boswell,K,PIT,ATL,7.4,C|boswell|PIT
186,D. Zvada,K,NYG,DAL,7.4,D|zvada|NYG
187,T. Smack,K,GB,MIN,7.4,T|smack|GB
188,S. Shrader,K,IND,BLT,7.4,S|shrader|IND
189,C. Okonkwo,TE,WAS,PHI,7.3,C|okonkwo|WAS
190,K. Fairbairn,K,HOU,BUF,7.3,K|fairbairn|HOU
191,P. Steelers,DST,PIT,ATL,7.2,DST|PIT
192,R. Fitzgerald,K,CAR,CHI,7.2,R|fitzgerald|CAR
193,C. Douglas,WR,MIA,LV,7.2,C|douglas|MIA
194,K. Monangai,RB,CHI,CAR,7.2,K|monangai|CHI
195,C. Smyth,K,NO,DET,7.2,C|smyth|NO
196,C. Ridley,WR,TEN,NYJ,7.1,C|ridley|TEN
197,T. Bass,K,BUF,HST,7.1,T|bass|BUF
198,P. Freiermuth,TE,PIT,ATL,7.1,P|freiermuth|PIT
199,R. Bateman,WR,BAL,IND,7.0,R|bateman|BAL
200,W. Lutz,K,DEN,KC,7.0,W|lutz|DEN
201,A. Borregales,K,NE,SEA,7.0,A|borregales|NE
202,T. Harris,WR,LAC,ARZ,6.9,T|harris|LAC
203,N. Folk,K,ATL,PIT,6.9,N|folk|ATL
204,D. Stevens,K,WAS,PHI,6.8,D|stevens|WAS
205,J. Slye,K,TEN,NYJ,6.8,J|slye|TEN
206,C. Bears,DST,CHI,CAR,6.8,DST|CHI
