name,position,nfl_team,games,pass_yards,pass_td,pass_int,pass_two_pt,rush_yards,rush_td,rush_two_pt,receptions,rec_yards,rec_td,rec_two_pt,fumbles_lost,off_fumble_rec_td,fumble_rec_two_pt,fg_made,xp_made,xp_missed,kick_return_td,punt_return_td,def_sacks,def_int,def_fumble_rec,def_td,def_blocked_fg,def_blocked_punt,def_blocked_xp,def_safeties,points_allowed_per_game,yards_allowed_per_game
Breece Hall,RB,NYJ,15.0,,,,,1072.0,5.8,,45.0,354.0,1.9,,,,,,,,,,,,,,,,,,,
Josh Jacobs,RB,GB,14.0,,,,,1039.0,10.8,,33.0,222.0,1.1,,,,,,,,,,,,,,,,,,,
Omarion Hampton,RB,LAC,15.0,,,,,973.0,7.7,,44.0,269.0,1.7,,,,,,,,,,,,,,,,,,,
Ashton Jeanty,RB,LV,13.0,,,,,876.0,6.8,,48.0,338.0,2.4,,,,,,,,,,,,,,,,,,,
Javonte Williams,RB,DAL,15.0,,,,,1081.0,8.6,,36.0,177.0,1.5,,,,,,,,,,,,,,,,,,,
Kyren Williams,RB,LA,15.0,,,,,1043.0,8.9,,31.0,218.0,1.4,,,,,,,,,,,,,,,,,,,
David Montgomery,RB,HST,15.0,,,,,1115.0,8.6,,30.0,218.0,0.7,,,,,,,,,,,,,,,,,,,
Bucky Irving,RB,TB,14.5,,,,,908.0,6.4,,35.0,321.0,1.9,,,,,,,,,,,,,,,,,,,
Jeremiyah Love,RB,ARZ,14.0,,,,,890.0,6.7,,40.0,288.0,1.6,,,,,,,,,,,,,,,,,,,
Quinshon Judkins,RB,CLV,15.0,,,,,997.0,7.4,,30.0,239.0,1.1,,,,,,,,,,,,,,,,,,,
D'Andre Swift,RB,CHI,15.0,,,,,956.0,7.0,,32.0,261.0,1.4,,,,,,,,,,,,,,,,,,,
Bhayshul Tuten,RB,JAX,15.0,,,,,986.0,8.2,,27.0,203.0,1.3,,,,,,,,,,,,,,,,,,,
Rhamondre Stevenson,RB,NE,15.0,,,,,792.0,6.5,,39.0,333.0,2.1,,,,,,,,,,,,,,,,,,,
Travis Etienne,RB,NO,15.0,,,,,879.0,6.5,,37.0,276.0,1.5,,,,,,,,,,,,,,,,,,,
Jaylen Warren,RB,PIT,15.0,,,,,768.0,5.1,,40.0,288.0,1.5,,,,,,,,,,,,,,,,,,,
Tony Pollard,RB,TEN,15.0,,,,,889.0,5.6,,35.0,186.0,0.8,,,,,,,,,,,,,,,,,,,
Cam Skattebo,RB,NYG,15.0,,,,,814.0,7.0,,29.0,204.0,1.2,,,,,,,,,,,,,,,,,,,
TreVeyon Henderson,RB,NE,15.0,,,,,786.0,5.9,,29.0,232.0,1.1,,,,,,,,,,,,,,,,,,,
Rico Dowdle,RB,PIT,15.0,,,,,801.0,5.3,,32.0,218.0,1.1,,,,,,,,,,,,,,,,,,,
Kenny Gainwell,RB,TB,15.0,,,,,589.0,4.1,,43.0,319.0,1.9,,,,,,,,,,,,,,,,,,,
Aaron Jones,RB,MIN,14.0,,,,,676.0,3.3,,42.0,286.0,1.6,,,,,,,,,,,,,,,,,,,
Chuba Hubbard,RB,CAR,14.0,,,,,767.0,5.9,,30.0,187.0,1.1,,,,,,,,,,,,,,,,,,,
Jadarian Price,RB,SEA,15.0,,,,,939.0,6.6,,18.0,118.0,0.5,,,,,,,,,,,,,,,,,,,
RJ Harvey,RB,DEN,15.0,,,,,485.0,3.6,,45.0,260.0,1.6,,,,,,,,,,,,,,,,,,,
Jonathon Brooks,RB,CAR,15.0,,,,,688.0,4.8,,25.0,149.0,0.9,,,,,,,,,,,,,,,,,,,
Blake Corum,RB,LA,15.0,,,,,760.0,6.3,,14.0,100.0,0.6,,,,,,,,,,,,,,,,,,,
Kyle Monangai,RB,CHI,15.0,,,,,668.0,4.9,,21.0,184.0,0.9,,,,,,,,,,,,,,,,,,,
Rachaad White,RB,WAS,15.0,,,,,526.0,4.1,,32.0,221.0,1.2,,,,,,,,,,,,,,,,,,,
Tyjae Spears,RB,TEN,14.0,,,,,508.0,2.8,,33.0,206.0,0.9,,,,,,,,,,,,,,,,,,,
Isiah Pacheco,RB,DET,14.0,,,,,583.0,5.4,,18.0,107.0,0.7,,,,,,,,,,,,,,,,,,,
Keaton Mitchell,RB,LAC,14.0,,,,,467.0,2.7,,27.0,205.0,0.9,,,,,,,,,,,,,,,,,,,
Dylan Sampson,RB,CLV,15.0,,,,,260.0,1.7,,42.0,291.0,1.4,,,,,,,,,,,,,,,,,,,
J.K. Dobbins,RB,DEN,12.0,,,,,673.0,4.9,,10.0,46.0,0.3,,,,,,,,,,,,,,,,,,,
Justice Hill,RB,BLT,15.0,,,,,350.0,2.3,,32.0,242.0,1.4,,,,,,,,,,,,,,,,,,,
