name,position,nfl_team,adp,times_drafted,trials,drafted_pct
Johnny Mundt,TE,PHI,,0,100,0.0
Andrew Ogletree,TE,IND,,0,100,0.0
Isaiah Davis,RB,NYJ,,0,100,0.0
DeMario Douglas,WR,NE,,0,100,0.0
Riley Nowakowski,TE,PIT,,0,100,0.0
Jack Stoll,TE,CLV,,0,100,0.0
Luke McCaffrey,WR,WAS,,0,100,0.0
Tanner Koziol,TE,JAX,,0,100,0.0
Tyler Conklin,TE,DET,,0,100,0.0
Justin Joly,TE,DEN,,0,100,0.0
Ben Yurosek,TE,MIN,,0,100,0.0
Julian Hill,TE,NE,,0,100,0.0
Kylen Granson,TE,TEN,,0,100,0.0
Luke Farrell,TE,SF,,0,100,0.0
Eric Saubert,TE,SEA,,0,100,0.0
Zachariah Branch,WR,ATL,,0,100,0.0
Jack Westover,TE,NE,,0,100,0.0
Payne Durham,TE,TB,,0,100,0.0
David Martin-Robinson,TE,TEN,,0,100,0.0
Luke Musgrave,TE,GB,,0,100,0.0
Cameron Latu,TE,PHI,,0,100,0.0
Chris Manhertz,TE,NYG,,0,100,0.0
Tre Harris,WR,LAC,,0,100,0.0
Ollie Gordon II,RB,MIA,,0,100,0.0
Malachi Fields,WR,NYG,,0,100,0.0
Kendrick Bourne,WR,ARZ,,0,100,0.0
Ray Davis,RB,BUF,,0,100,0.0
Chris Brooks,RB,GB,,0,100,0.0
Jahdae Walker,WR,CHI,,0,100,0.0
Tahj Brooks,RB,CIN,,0,100,0.0
James Conner,RB,ARI,,0,100,0.0
Phil Mafah,RB,DAL,,0,100,0.0
Trevor Etienne,RB,CAR,,0,100,0.0
Nicholas Singleton,RB,TEN,,0,100,0.0
Will Shipley,RB,PHI,,0,100,0.0
Malik Davis,RB,DAL,,0,100,0.0
Hunter Luepke,RB,DAL,,0,100,0.0
Eli Heidenreich,RB,PIT,,0,100,0.0
Connor Heyward,RB,LV,,0,100,0.0
Alec Ingold,RB,LAC,,0,100,0.0
Max Bredeson,RB,MIN,,0,100,0.0
Adam Prentice,RB,DEN,,0,100,0.0
British Brooks,RB,HST,,0,100,0.0
Patrick Ricard,RB,NYG,,0,100,0.0
Reggie Gilliam,RB,NE,,0,100,0.0
Brady Russell,RB,SEA,,0,100,0.0
Emari Demercado,RB,KC,,0,100,0.0
Josh Cuevas,TE,BLT,,0,100,0.0
Devin Neal,RB,NO,,0,100,0.0
Cedric Tillman,WR,CLE,,0,100,0.0
Colbie Young,WR,CIN,,0,100,0.0
Ian Thomas,TE,LV,,0,100,0.0
Colson Yankoff,TE,WAS,,0,100,0.0
Tez Johnson,WR,TB,,0,100,0.0
Zavion Thomas,WR,CHI,,0,100,0.0
Bryce Lance,WR,NO,,0,100,0.0
Devontez Walker,WR,BLT,,0,100,0.0
Skyler Bell,WR,BUF,,0,100,0.0
Konata Mumpfield,WR,LA,,0,100,0.0
Jordan Whittington,WR,LA,,0,100,0.0
Tai Felton,WR,MIN,,0,100,0.0
Darnell Mooney,WR,NYG,,0,100,0.0
Mitchell Tinsley,WR,CIN,,0,100,0.0
Isaiah Bond,WR,CLV,,0,100,0.0
Jalen Royals,WR,KC,,0,100,0.0
Barion Brown,WR,NO,,0,100,0.0
Xavier Smith,WR,LA,,0,100,0.0
Nick Westbrook-Ikhine,WR,IND,,0,100,0.0
Reggie Virgil,WR,ARZ,,0,100,0.0
Brenen Thompson,WR,LAC,,0,100,0.0
Jaylin Lane,WR,WAS,,0,100,0.0
Xavier Weaver,WR,ARZ,,0,100,0.0
CJ Daniels,WR,LA,,0,100,0.0
Arian Smith,WR,NYJ,,0,100,0.0
Emmanuel Henderson Jr.,WR,SEA,,0,100,0.0
Van Jefferson,WR,WAS,,0,100,0.0
C.J. Williams,WR,JAX,,0,100,0.0
Travis Homer,RB,PIT,,0,100,0.0
Kendre Miller,RB,NO,,0,100,0.0
Roman Wilson,WR,PIT,,0,100,0.0
Salvon Ahmed,RB,CHI,,0,100,0.0
Jam Miller,RB,NE,,0,100,0.0
Savion Williams,WR,GB,,0,100,0.0
Ty Chandler,RB,NO,,0,100,0.0
John Metchie III,WR,CAR,,0,100,0.0
Erick All,TE,CIN,,0,100,0.0
Travis Hunter,WR,JAX,,0,100,0.0
Isaiah Williams,WR,NYJ,,0,100,0.0
Kyle Williams,WR,NE,,0,100,0.0
George Holani,RB,SEA,,0,100,0.0
AJ Dillon,RB,CAR,,0,100,0.0
Jimmy Horn Jr.,WR,CAR,,0,100,0.0
DJ Giddens,RB,IND,,0,100,0.0
Darius Cooper,WR,PHI,,0,100,0.0
Tylan Wallace,WR,CLV,,0,100,0.0
Deion Burks,WR,IND,,0,100,0.0
LaJohntay Wester,WR,BLT,,0,100,0.0
Jake Bobo,WR,SEA,,0,100,0.0
Myles Price,WR,MIN,,0,100,0.0
Ben Skowronek,WR,PIT,,0,100,0.0
Zavier Scott,RB,MIN,,0,100,0.0
Devin Culp,TE,TB,,0,100,0.0
Jordyn Tyson,WR,NO,,0,100,0.0
Donovan Edwards,RB,MIA,,0,100,0.0
Kevin Coleman Jr.,WR,MIA,,0,100,0.0
Bo Melton,WR,GB,,0,100,0.0
Frank Gore Jr.,RB,BUF,,0,100,0.0
Jacob Cowing,WR,SF,,0,100,0.0
MarShawn Lloyd,RB,GB,,0,100,0.0
Tutu Atwell,WR,MIA,,0,100,0.0
Greg Dortch,WR,DET,,0,100,0.0
Cedrick Wilson Jr.,WR,DET,,0,100,0.0
Jalen Tolbert,WR,MIA,,0,100,0.0
Roschon Johnson,RB,CHI,,0,100,0.0
KeAndre Lambert-Smith,WR,LAC,,0,100,0.0
