year,timeframe,name,position,nfl_team,opp,bye_week,rost_pct,fpts
2026,restofseason,Terrell Jennings,RB,NE,@SEA,11,1.0,0.0
2026,restofseason,Elijah Arroyo,TE,SEA,NE,11,2.0,0.0
2026,restofseason,Ketron Jackson Jr.,WR,LV,MIA,13,1.0,0.0
2026,restofseason,Austin Proehl,WR,NYG,DAL,8,1.0,0.0
2026,restofseason,Case Keenum,QB,CHI,@CAR,10,1.0,0.0
2026,restofseason,Will Howard,QB,PIT,ATL,9,1.0,0.0
2026,restofseason,JJ Laap,WR,LAR,SF,11,1.0,0.0
2026,restofseason,Da'Quan Felton,WR,NYJ,@TEN,13,1.0,0.0
2026,restofseason,Jonnu Smith,TE,GB,@MIN,11,1.0,0.0
2026,restofseason,Manasseh Bailey,WR,NYJ,@TEN,13,1.0,0.0
2026,restofseason,Tanner Hudson,TE,CIN,TB,6,1.0,0.0
2026,restofseason,Joel Honigford,TE,ARI,@LAC,14,1.0,0.0
2026,restofseason,Jakobie Keeney-James,WR,PIT,ATL,9,1.0,0.0
2026,restofseason,Isaiah Neyor,WR,GB,@MIN,11,1.0,0.0
2026,restofseason,Anthony Gordon,QB,KC,DEN,5,1.0,0.0
2026,restofseason,Jerreth Sterns,WR,LAR,SF,11,1.0,0.0
2026,restofseason,Derrick Dillon,WR,CLE,@JAC,11,1.0,0.0
2026,restofseason,Cole Fotheringham,TE,NE,@SEA,11,1.0,0.0
2026,restofseason,Jaden Nixon,RB,GB,@MIN,11,1.0,0.0
2026,restofseason,BJ Emmons,RB,HOU,BUF,8,1.0,0.0
2026,restofseason,Nick Sharga,RB,LV,MIA,13,0.0,0.0
2026,restofseason,Rocky Lombardi,QB,CIN,TB,6,1.0,0.0
2026,restofseason,James Conner,RB,ARI,@LAC,14,14.0,0.0
2026,restofseason,Toriano Clinton,RB,IND,BAL,13,1.0,0.0
2026,restofseason,Brennan Presley,WR,LAR,SF,11,1.0,0.0
2026,restofseason,Kyle Shurmur,QB,WAS,@PHI,7,1.0,0.0
2026,restofseason,Cedric Tillman,WR,NO,@DET,8,1.0,0.0
2026,restofseason,Artavis Scott,WR,HOU,BUF,8,1.0,0.0
2026,restofseason,Simi Fehoko,WR,ARI,@LAC,14,1.0,0.0
2026,restofseason,Luis Perez,QB,LAC,ARI,7,1.0,0.0
2026,restofseason,Tre Stewart,RB,ARI,@LAC,14,1.0,0.0
2026,restofseason,Tyreek Hill,WR,MIA,@LV,6,6.0,0.0
2026,restofseason,Kade Warner,WR,TB,@CIN,10,1.0,0.0
2026,restofseason,Cam Grandy,TE,MIN,GB,6,1.0,0.0
2026,restofseason,James Blackman,QB,MIA,@LV,6,1.0,0.0
2026,restofseason,Tanner Knue,WR,TB,@CIN,10,1.0,0.0
2026,restofseason,Jeremiah Webb,WR,NE,@SEA,11,1.0,0.0
2026,restofseason,Damien Martinez,RB,GB,@MIN,11,1.0,0.0
2026,restofseason,Tyler Harrell,WR,NYJ,@TEN,13,1.0,0.0
2026,restofseason,Terrace Marshall Jr.,WR,MIA,@LV,6,1.0,0.0
2026,restofseason,Junior Bergen,WR,NYJ,@TEN,13,1.0,0.0
2026,restofseason,Dylan Cantrell,WR,WAS,@PHI,7,1.0,0.0
2026,restofseason,Kyron Drones,QB,GB,@MIN,11,1.0,0.0
2026,restofseason,Devin Culp,TE,TB,@CIN,10,1.0,0.0
2026,restofseason,Jacob Copeland,WR,PIT,ATL,9,1.0,0.0
2026,restofseason,Taryn Christion,QB,PIT,ATL,9,1.0,0.0
2026,restofseason,Michael Carter,RB,TEN,NYJ,9,1.0,0.0
2026,restofseason,Steven Montez,QB,DET,NO,6,1.0,0.0
2026,restofseason,Michael Woods II,WR,DEN,@KC,10,1.0,0.0
2026,restofseason,Ben Wooldridge,QB,NE,@SEA,11,1.0,0.0
2026,restofseason,Josh Whyle,TE,GB,@MIN,11,1.0,0.0
2026,restofseason,Cade Brewer,TE,SEA,NE,11,1.0,0.0
2026,restofseason,J.J. Jones,WR,JAC,CLE,7,1.0,0.0
2026,restofseason,Braxton Berrios,WR,NYG,DAL,8,1.0,0.0
2026,restofseason,Moochie Dixon,WR,NO,@DET,8,1.0,0.0
2026,restofseason,Ray-Ray McCloud,WR,CHI,@CAR,10,1.0,0.0
2026,restofseason,Nico Evans,RB,PHI,WAS,10,1.0,0.0
2026,restofseason,Cornelius Johnson,WR,BAL,@IND,13,1.0,0.0
2026,restofseason,Sage Surratt,WR,ARI,@LAC,14,1.0,0.0
2026,restofseason,Luke Farrell,TE,SF,@LAR,8,1.0,0.0
2026,restofseason,Taysir Mack,WR,SF,@LAR,8,1.0,0.0
2026,restofseason,Moritz Boehringer,TE,CIN,TB,6,1.0,0.0
2026,restofseason,Tom Kennedy,WR,DET,NO,6,1.0,0.0
2026,restofseason,Justin Hall,WR,MIN,GB,6,1.0,0.0
2026,restofseason,Mike Rigerman,TE,BAL,@IND,13,1.0,0.0
2026,restofseason,Kalija Lipscomb,WR,TEN,NYJ,9,1.0,0.0
2026,restofseason,Zach Horton,TE,DET,NO,6,1.0,0.0
2026,restofseason,N'Keal Harry,TE,SEA,NE,11,1.0,0.0
2026,restofseason,Roydell Williams,RB,DET,NO,6,1.0,0.0
2026,restofseason,Christian Scotland-Williamson,TE,PIT,ATL,9,1.0,0.0
2026,restofseason,Moose Muhammad III,WR,CAR,CHI,5,1.0,0.0
2026,restofseason,Dylan Parham,TE,DEN,@KC,10,1.0,0.0
2026,restofseason,Coleman Bennett,RB,MIA,@LV,6,1.0,0.0
2026,restofseason,Braylon Sanders,WR,WAS,@PHI,7,1.0,0.0
2026,restofseason,Andrew Vollert,TE,IND,BAL,13,1.0,0.0
2026,restofseason,Devron Harper,WR,MIN,GB,6,1.0,0.0
2026,restofseason,Malik Taylor,WR,DET,NO,6,0.0,0.0
2026,restofseason,LeQuint Allen,RB,JAC,CLE,7,2.0,0.0
2026,restofseason,Taimi Tutogi,RB,FA,BYE,0,1.0,0.0
2026,restofseason,Cam Akers,RB,SEA,NE,11,1.0,0.0
2026,restofseason,Kevin Austin Jr.,WR,NO,@DET,8,1.0,0.0
2026,restofseason,Drew Plitt,QB,CIN,TB,6,1.0,0.0
2026,restofseason,Colin Granger,TE,CAR,CHI,5,1.0,0.0
2026,restofseason,Kairee Robinson,RB,SEA,NE,11,1.0,0.0
2026,restofseason,Connor Davis,TE,CLE,@JAC,11,1.0,0.0
2026,restofseason,Kenny Yeboah,TE,ARI,@LAC,14,1.0,0.0
2026,restofseason,Brian Cobbs,WR,ARI,@LAC,14,1.0,0.0
2026,restofseason,Mark Gronowski,QB,HOU,BUF,8,1.0,0.0
2026,restofseason,Marcus Simms,WR,SEA,NE,11,0.0,0.0
2026,restofseason,Devon Williams,WR,BAL,@IND,13,0.0,0.0
2026,restofseason,Emmanuel Butler,WR,NO,@DET,8,1.0,0.0
2026,restofseason,Dy'Shawn Mobley,RB,CIN,TB,6,0.0,0.0
2026,restofseason,David Bell,WR,CLE,@JAC,11,1.0,0.0
2026,restofseason,Kisean Johnson,WR,GB,@MIN,11,1.0,0.0
2026,restofseason,Nick Mullens,QB,JAC,CLE,7,1.0,0.0
2026,restofseason,Isaiah Hodgins,WR,NYG,DAL,8,1.0,0.0
2026,restofseason,Je'Quan Burton,WR,MIA,@LV,6,0.0,0.0
2026,restofseason,Nick Kallerup,TE,SEA,NE,11,0.0,0.0
2026,restofseason,Josh Williams,RB,TB,@CIN,10,1.0,0.0
2026,restofseason,Jase McClellan,RB,TB,@CIN,10,1.0,0.0
2026,restofseason,Dax Raymond,TE,PIT,ATL,9,1.0,0.0
2026,restofseason,Dallas Daniels,WR,DEN,@KC,10,1.0,0.0
2026,restofseason,Emory Jones,QB,ATL,@PIT,11,1.0,0.0
2026,restofseason,Jordan Ta'amu-Perifanos,QB,MIN,GB,6,1.0,0.0
2026,restofseason,Alex Bachman,WR,LAR,SF,11,1.0,0.0
2026,restofseason,Tyler Vaughns,WR,PIT,ATL,9,1.0,0.0
2026,restofseason,Mark Thompson,RB,LV,MIA,13,1.0,0.0
2026,restofseason,Colton Dowell,WR,PIT,ATL,9,1.0,0.0
2026,restofseason,Efton Chism III,WR,NE,@SEA,11,1.0,0.0
2026,restofseason,Hunter Thedford,TE,CLE,@JAC,11,1.0,0.0
2026,restofseason,Will Grier,QB,CAR,CHI,5,1.0,0.0
2026,restofseason,Travis Homer,RB,PIT,ATL,9,1.0,0.0
2026,restofseason,Andrew Parchment,WR,CAR,CHI,5,0.0,0.0
2026,restofseason,Kyre Duplessis,WR,DEN,@KC,10,1.0,0.0
2026,restofseason,Le'Meke Brockington,WR,ATL,@PIT,11,0.0,0.0
2026,restofseason,Evan Hull,RB,ARI,@LAC,14,1.0,0.0
2026,restofseason,T.J. Simmons,WR,TB,@CIN,10,1.0,0.0
2026,restofseason,Jerome Ford,RB,WAS,@PHI,7,1.0,0.0
2026,restofseason,Johnny Pascuzzi,TE,LAC,ARI,7,1.0,0.0
2026,restofseason,Jalen Milroe,QB,SEA,NE,11,2.0,0.0
2026,restofseason,Al-Jay Henderson,RB,NYJ,@TEN,13,0.0,0.0
2026,restofseason,Shane Zylstra,TE,NE,@SEA,11,1.0,0.0
2026,restofseason,Jequez Ezzard,WR,WAS,@PHI,7,1.0,0.0
2026,restofseason,Dominic Richardson,RB,NYJ,@TEN,13,1.0,0.0
2026,restofseason,Sahmir Hagans,WR,IND,BAL,13,1.0,0.0
2026,restofseason,Zach Wilson,QB,NO,@DET,8,1.0,0.0
2026,restofseason,Scott Miller,WR,CHI,@CAR,10,1.0,0.0
2026,restofseason,Isaiah Bowser,RB,BUF,@HOU,7,1.0,0.0
2026,restofseason,Alex Tecza,RB,PIT,ATL,9,0.0,0.0
2026,restofseason,Jonathan Ward,RB,BAL,@IND,13,1.0,0.0
